,0
model,CS5P-220M
producer,Canadian Solar
width,1602.0
length,1061.0
VOC,59.4
ISC,5.1
VMPP,46.9
IMPP,4.69
nominal_PMPP,1e-50
nominal_fill_factor,1e-50
nominal_efficiency,12.94
Ns,96
n,1.1
Il,5.114
I0,8.196e-10
rs,1.065
rsh,381.68
t,298
q,1.6e-19
k,1.38e-23
nNsVth,2.6373
current_multiplier,1000000
VOC_temp_coefficient,-0.206
ISC_temp_coefficient,-0.45
PMPP,219961.0
fill_factor,0.73
max_efficiency,221146.0
