,0
model,SM141K07L
producer,IXYS-Anysolar
width,0.023
length,0.050
VOC,4.84
ISC,58.6
VMPP,3.91
IMPP,55.1
nominal_PMPP,215.0
nominal_fill_factor,0.7
nominal_efficiency,0.25
Ns,6
n,1e-50
Il,58.6
I0,1e-50
rs,1e-50
rsh,7.01
t,298
q,1.6e-19
k,1.38e-23
nNsVth,1e-50
current_multiplier,1000
VOC_temp_coefficient,-0.0122
ISC_temp_coefficient,0.0265
PMPP,1e-50
fill_factor,1e-50
max_efficiency,1e-50
