,0
model,SM111K04L
producer,IXYS
width,0.014
length,0.043
VOC,2.76
ISC,46.7
VMPP,2.23
IMPP,43.9
nominal_PMPP,98.0
nominal_fill_factor,0.7
nominal_efficiency,0.25
Ns,4
n,1.49971
Il,46.7
I0,7.755549317034542e-07
rs,0.0015400000000000034
rsh,4.61863914192537
t,298
q,1.6e-19
k,1.38e-23
nNsVth,0.1541851851
current_multiplier,1000.0
VOC_temp_coefficient,-0.007
ISC_temp_coefficient,2e-05
PMPP,1e-50
fill_factor,0.7
max_efficiency,0.25
