timestamp,temperature,total_clouds,precipitation,snowDepth,humidity,windSpeed,pressure,pysolar_cs_ghi,IandP_cs_ghi,cs_ghi,cs_dni,cs_dhi,cn_ghi,cn_dni,cn_dhi
2021-11-01 00:00:00+01:00,13.479943847656273,7.01904296875,0.7421875,0.0,74.88385200500488,6.9563237244910585,980.9544010416666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:01:00+01:00,13.461102294921895,6.953277587890621,0.7298177083333335,0.0,74.83239633242289,6.947443786658405,980.986781467014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:02:00+01:00,13.442260742187525,6.88751220703125,0.7174479166666667,0.0,74.7809406598409,6.938563848825751,981.0191618923612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:03:00+01:00,13.423419189453147,6.821746826171871,0.705078125,0.0,74.72948498725891,6.9296839109930986,981.0515423177084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:04:00+01:00,13.404577636718772,6.755981445312489,0.6927083333333335,0.0,74.67802931467692,6.920803973160445,981.0839227430556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:05:00+01:00,13.385736083984398,6.69021606445312,0.6803385416666667,0.0,74.62657364209493,6.911924035327791,981.1163031684029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:06:00+01:00,13.366894531250022,6.624450683593749,0.66796875,0.0,74.57511796951295,6.903044097495138,981.14868359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:07:00+01:00,13.348052978515648,6.55868530273437,0.6555989583333335,0.0,74.52366229693095,6.894164159662484,981.1810640190972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:08:00+01:00,13.329211425781272,6.492919921875,0.6432291666666667,0.0,74.47220662434896,6.885284221829831,981.2134444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:09:00+01:00,13.310369873046898,6.42715454101562,0.630859375,0.0,74.42075095176696,6.876404283997178,981.2458248697916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:10:00+01:00,13.291528320312525,6.36138916015625,0.6184895833333335,0.0,74.36929527918498,6.867524346164524,981.278205295139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:11:00+01:00,13.272686767578149,6.295623779296871,0.6061197916666667,0.0,74.31783960660299,6.858644408331871,981.310585720486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:12:00+01:00,13.253845214843771,6.2298583984375,0.59375,0.0,74.266383934021,6.849764470499217,981.3429661458332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:13:00+01:00,13.235003662109396,6.16409301757812,0.5813802083333335,0.0,74.214928261439,6.840884532666564,981.3753465711806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:14:00+01:00,13.216162109375023,6.09832763671874,0.5690104166666667,0.0,74.16347258885702,6.832004594833911,981.4077269965278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:15:00+01:00,13.197320556640648,6.032562255859371,0.556640625,0.0,74.11201691627502,6.823124657001257,981.440107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:16:00+01:00,13.178479003906272,5.966796874999989,0.5442708333333335,0.0,74.06056124369303,6.814244719168604,981.4724878472224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:17:00+01:00,13.159637451171898,5.90103149414062,0.5319010416666667,0.0,74.00910557111104,6.805364781335951,981.5048682725694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:18:00+01:00,13.140795898437522,5.83526611328125,0.51953125,0.0,73.95764989852906,6.796484843503297,981.5372486979168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:19:00+01:00,13.121954345703148,5.76950073242187,0.5071614583333335,0.0,73.90619422594706,6.787604905670643,981.569629123264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:20:00+01:00,13.103112792968773,5.7037353515625,0.4947916666666667,0.0,73.85473855336507,6.77872496783799,981.6020095486112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:21:00+01:00,13.084271240234395,5.637969970703121,0.482421875,0.0,73.80328288078309,6.769845030005337,981.6343899739584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:22:00+01:00,13.065429687500025,5.57220458984375,0.4700520833333335,0.0,73.75182720820109,6.760965092172683,981.6667703993056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:23:00+01:00,13.046588134765647,5.50643920898437,0.4576822916666667,0.0,73.7003715356191,6.75208515434003,981.6991508246527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:24:00+01:00,13.027746582031272,5.44067382812499,0.4453125,0.0,73.6489158630371,6.743205216507376,981.73153125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:25:00+01:00,13.008905029296898,5.374908447265621,0.4329427083333335,0.0,73.59746019045512,6.7343252786747225,981.7639116753472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
