timestamp,temp_air,wind_speed,total_clouds,low_clouds,mid_clouds,high_clouds,GFS_ghi,cs_ghi,cs_dni,cs_dhi,cn_ghi,cn_dni,cn_dhi
2021-11-01 00:00:00+01:00,10.613366699218773,4.42486893864175,99.30000305175781,66.80000305175781,65.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:01:00+01:00,10.610280015733508,4.423869564439439,99.2911141289605,66.42889192369249,64.63888888888889,87.55500000847711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:02:00+01:00,10.6071933322483,4.422874723329048,99.28222520616319,66.05778079562717,64.27777777777777,87.61000001695422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:03:00+01:00,10.604106648763036,4.42188441837016,99.27333628336588,65.68666966756184,63.916666666666664,87.66500002543131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:04:00+01:00,10.601019965277828,4.420898652611141,99.26444736056858,65.31555853949652,63.55555555555556,87.72000003390842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:05:00+01:00,10.597933281792564,4.4199174290890975,99.25555843777127,64.94444741143121,63.19444444444444,87.77500004238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:06:00+01:00,10.5948465983073,4.418940750829835,99.24666951497396,64.57333628336589,62.833333333333336,87.83000005086264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:07:00+01:00,10.591759914822092,4.41796862084781,99.23778059217665,64.20222515530057,62.47222222222222,87.88500005933973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:08:00+01:00,10.588673231336827,4.417001042146089,99.22889166937934,63.831114027235245,62.111111111111114,87.94000006781684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:09:00+01:00,10.585586547851562,4.416038017716307,99.22000274658203,63.46000289916992,61.75,87.99500007629395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:10:00+01:00,10.582499864366355,4.415079550538618,99.21111382378473,63.0888917711046,61.388888888888886,88.05000008477106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:11:00+01:00,10.57941318088109,4.4141256435816585,99.20222490098742,62.717780643039276,61.02777777777778,88.10500009324815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:12:00+01:00,10.576326497395883,4.413176299802499,99.1933359781901,62.34666951497396,60.666666666666664,88.16000010172526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:13:00+01:00,10.573239813910618,4.412231522146606,99.1844470553928,61.97555838690864,60.30555555555556,88.21500011020237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:14:00+01:00,10.570153130425354,4.411291313547795,99.17555813259548,61.604447258843315,59.94444444444444,88.27000011867948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:15:00+01:00,10.567066446940146,4.410355676928186,99.16666920979817,61.23333613077799,59.583333333333336,88.32500012715657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:16:00+01:00,10.563979763454881,4.40942461519817,99.15778028700086,60.86222500271268,59.22222222222222,88.38000013563368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:17:00+01:00,10.560893079969617,4.408498131256353,99.14889136420356,60.491113874647354,58.861111111111114,88.43500014411079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:18:00+01:00,10.557806396484409,4.407576227989526,99.14000244140625,60.12000274658203,58.5,88.4900001525879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:19:00+01:00,10.554719712999145,4.406658908272614,99.13111351860894,59.74889161851671,58.138888888888886,88.54500016106499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:20:00+01:00,10.551633029513937,4.4057461749686375,99.12222459581163,59.377780490451386,57.77777777777778,88.6000001695421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:21:00+01:00,10.548546346028672,4.404838030928669,99.11333567301432,59.00666936238607,57.416666666666664,88.65500017801921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:22:00+01:00,10.545459662543408,4.403934478991794,99.10444675021701,58.63555823432075,57.05555555555556,88.71000018649632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:23:00+01:00,10.5423729790582,4.403035521985065,99.09555782741971,58.264447106255425,56.69444444444444,88.76500019497341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:24:00+01:00,10.539286295572936,4.402141162723457,99.0866689046224,57.8933359781901,56.333333333333336,88.82000020345052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:25:00+01:00,10.536199612087671,4.401251404009837,99.07777998182509,57.522224850124786,55.97222222222222,88.87500021192763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:26:00+01:00,10.533112928602463,4.400366248634912,99.06889105902778,57.15111372205946,55.611111111111114,88.93000022040474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:27:00+01:00,10.530026245117199,4.399485699377189,99.06000213623047,56.78000259399414,55.25,88.98500022888183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01 00:28:00+01:00,10.526939561631991,4.398609759002939,99.05111321343315,56.40889146592882,54.888888888888886,89.04000023735894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
